,X,Y,Z,NX,NY,NZ,C
51,-2.111521,9.682054,-0.0675,-0.0567474717749,-0.108400068519,0.992486347308,0.00633697856673
52,-2.021494,9.732042,-0.0175,-0.0504231930937,-0.0761065655606,0.995823926343,0.00461697158225
53,-1.87147,9.742052,-0.0075,-0.0442315734343,-0.0172782827481,0.998871878099,0.00414589571107
54,-1.62147,9.712023,-0.0375,-0.0270092529543,-0.018715274914,0.999459973556,0.00488208487914
55,-1.551523,9.742052,-0.0075,0.0275771598145,-0.00308071252241,0.999614930594,0.00626777483655
56,-1.451487,9.742052,-0.0075,0.0487093036675,-0.0594558524049,0.997041827283,0.0113747299245
57,-1.201487,9.702013,-0.0475,0.0544265502614,-0.0964710051731,0.993846615825,0.00658063426667
58,-1.111521,9.752001,0.0025,0.0550213009469,-0.108862522689,0.992532925195,0.00658183503745
59,-0.911509,9.702013,-0.0475,0.0628341184629,0.00487570817127,0.99801207459,0.00869782254226
60,-0.801523,9.712023,-0.0375,0.0666947636104,0.00512795198803,0.997760248063,0.00907193573566
61,-0.681467,9.662035,-0.0875,0.0208205461855,0.0500923346971,0.998527547372,0.00819182706215
62,-0.491526,9.692003,-0.0575,-0.0328037807899,0.0168442187103,0.999319860836,0.0110954223879
63,-0.351511,9.712023,-0.0375,0.031924851682,-0.0442389975651,0.998510748535,0.0128655921811
64,-0.201487,9.722032,-0.0275,-0.00596335818381,-0.0495498989811,0.998753846486,0.00964237216497
65,-0.021494,9.702013,-0.0475,-0.051154561811,-0.0768675644407,0.995728169905,0.00945311342149
66,0.098501,9.692003,-0.0575,-0.103872870255,-0.036543423454,0.993919013314,0.00777136505332
67,-9.651499,9.582018,-0.0175,0.165672641321,-0.0864988439508,0.982380031308,0.0040336189334
68,-9.531504,9.55205,-0.0475,0.18490784514,-0.057960791722,0.981045175019,0.00259777951631
69,-9.361521,9.54204,-0.0575,0.0391089192023,-0.114728519887,0.992626747153,0.00691579890397
70,-9.211497,9.572008,-0.0275,-0.0690086354779,-0.0442746292667,0.996633114758,0.0142121236326
71,-9.111521,9.54204,-0.0575,-0.012593675346,-0.0736414516289,0.997205262693,0.0126518660617
72,-8.921519,9.55205,-0.0475,0.0128241091796,-0.115668714367,0.993205059764,0.00813263635895
73,-8.751475,9.572008,-0.0275,0.0345005000573,-0.124279073552,0.99164733014,0.0109104829307
74,-8.581492,9.53203,-0.0675,0.0275387234312,-0.103190994115,0.994280261016,0.0101484598707
75,-8.471506,9.52202,-0.0775,0.0365005758305,-0.0320389395699,0.998819910852,0.0161117194272
76,-8.321482,9.561998,-0.0375,-0.0274184541669,-0.0216987400687,0.999388509565,0.0157582896308
77,-8.171519,9.54204,-0.0575,0.105002492503,0.185363597448,0.977043915753,0.00528787620611
78,-8.001475,9.492052,-0.1075,0.0919293713366,0.0627651834549,0.993785450906,0.0196271046644
79,-7.851511,9.51201,-0.0875,-0.180253252252,-0.00214936004621,0.98361788582,0.0153270072468
80,-7.631479,9.55205,-0.0475,-0.036617044561,0.0423941600004,0.99842973075,0.016931242545
81,-7.551523,9.592028,-0.0075,0.0524542751624,0.0556640605386,0.99707074041,0.0117604423516
82,-7.411509,9.54204,-0.0575,0.0511673177934,0.009592200957,0.998644028306,0.0162824058323
83,-7.271494,9.54204,-0.0575,0.0286469156472,-0.00985893378292,0.999540972471,0.0159189381434
84,-7.071482,9.582018,-0.0175,-0.0533667471047,-0.129075109274,0.990197761293,0.0182499475753
85,-6.961497,9.602037,0.0025,-0.0223620898486,-0.0211581605261,0.999526022263,0.0234362467694
86,-6.771494,9.53203,-0.0675,0.00793912136253,-0.107265616847,0.994198701364,0.0118751208958
87,-6.611521,9.572008,-0.0275,0.0878780430321,0.0507227489035,0.99483900823,0.0137118633866
88,-6.511484,9.55205,-0.0475,0.054538591397,0.0848241752276,0.994902206926,0.0136094845558
89,-6.381479,9.52202,-0.0775,0.0801065370881,0.13708793512,0.987314458904,0.00649548192415
90,-6.181467,9.53203,-0.0675,0.00226419639289,0.0344528861967,0.999403758272,0.0151428765776
91,-6.021494,9.52202,-0.0775,-0.0936277198674,-0.0780862958311,0.992540367177,0.0311224456135
92,-5.911509,9.54204,-0.0575,0.0281729093703,-0.0551942923219,0.998078091771,0.0362055193239
93,-5.761484,9.561998,-0.0375,-0.103826644997,0.0468323099938,0.993492205571,0.0434449061006
94,-5.611521,9.572008,-0.0275,0.149062348734,-0.0677394076256,0.986504834679,0.0373795374121
95,-5.421519,9.502001,-0.0975,0.210305561812,0.0565212180531,0.976000472634,0.0212976910478
96,-5.321482,9.502001,-0.0975,-0.108304035634,0.0918421257632,0.989866283798,0.0068067539364
97,-5.131479,9.51201,-0.0875,-0.168312912734,-0.0142326770717,0.985630861079,0.01789889066
98,-5.011484,9.582018,-0.0175,0.00827143099457,-0.0752815861311,0.997128008943,0.0213196841917
99,-4.861521,9.55205,-0.0475,0.022430581501,0.00663567534634,0.999726380979,0.0301065362439
100,-4.741526,9.55205,-0.0475,0.0996233732214,0.0451325228671,0.9940011262,0.0145981865364
101,-4.531504,9.561998,-0.0375,0.0587874168769,-0.0832206774684,0.99479563653,0.0224154842523
102,-4.411509,9.582018,-0.0175,-0.0760378998347,-0.0946338233044,0.992603988142,0.0458270586811
103,-4.261484,9.492052,-0.1075,0.0500647066445,0.137156126046,0.989283438776,0.0297345956277
104,-4.12147,9.54204,-0.0575,-0.0610656787765,-0.0595003922351,0.996358713616,0.0465576458572
105,-3.981516,9.52202,-0.0775,-0.148761932739,0.014909406338,0.988760636843,0.0253528269825
106,-3.801523,9.52202,-0.0775,0.0324399980079,-0.0865257756666,0.995721314764,0.0232795788075
107,-3.651499,9.612047,0.0125,0.145921406889,-0.0275713835509,0.988911908018,0.0254826127028
108,-3.511484,9.55205,-0.0475,-0.0388981004747,-0.0753158318877,0.996400754339,0.025477506065
109,-3.401499,9.52202,-0.0775,0.0494742870946,-0.0776670353584,0.995751036422,0.0249921312682
110,-3.141489,9.502001,-0.0975,0.0146627776508,-0.0486897592078,0.998706318344,0.0217184630782
111,-3.061472,9.502001,-0.0975,0.0816547707123,-0.0406681210251,0.995830609267,0.0249266732202
112,-2.891489,9.502001,-0.0975,-0.0243693038828,0.140946120534,0.989717297078,0.0294731373683
113,-2.761484,9.54204,-0.0575,-0.0776743891969,-0.0145204183183,0.9968730344,0.0254890938978
114,-2.591501,9.54204,-0.0575,-0.00273903356928,-0.00198844162767,0.999994271881,0.0253024627215
115,-2.451487,9.592028,-0.0075,-0.0188721292754,0.00316321047861,0.999816901656,0.0144872934849
116,-2.281504,9.54204,-0.0575,0.0788767923923,-0.0093909860365,0.996840138138,0.0165396177108
117,-2.151499,9.561998,-0.0375,-0.0441816867807,-0.0931001850729,0.994675994529,0.00688132717354
118,-2.011484,9.561998,-0.0375,-0.0566151833973,-0.121070011644,0.991028139504,0.00732380752129
119,-1.881479,9.582018,-0.0175,-0.0581130663726,-0.113561603488,0.991829941941,0.00627851746019
120,-1.691477,9.582018,-0.0175,-0.0667345370796,-0.0866964574283,0.993997095484,0.0087238145099
121,-1.581492,9.582018,-0.0175,0.0418737909625,-0.117742204558,0.992160954128,0.0142958985736
122,-1.461497,9.602037,0.0025,0.110087193949,-0.114663743944,0.987285690949,0.0141038452625
123,-1.211497,9.52202,-0.0775,0.0334622348976,-0.135187395782,0.990254839351,0.0139857876683
124,-1.101511,9.55205,-0.0475,0.0524411194004,-0.0837571571626,0.995105355035,0.0161033234944
125,-0.961497,9.561998,-0.0375,-0.00978762974635,-0.153453984979,0.988107320486,0.0102515879285
126,-0.781504,9.53203,-0.0675,-0.028731509438,-0.0363116542497,0.998927406837,0.015071175789
127,-0.631479,9.55205,-0.0475,0.0378737207287,0.0653521582663,0.997143257856,0.0126160982069
128,-0.541514,9.572008,-0.0275,-0.0567717896002,0.0662715448244,0.996185246956,0.0113621365877
129,-0.391489,9.51201,-0.0875,0.128808372954,0.0355922480262,0.991030572151,0.0126793694785
130,-0.231516,9.502001,-0.0975,0.0217830228197,0.0182902442987,0.99959540159,0.0264947149594
131,-0.071482,9.53203,-0.0675,-0.0677886900004,0.0336624586416,0.997131652484,0.0199231633148
132,0.12853,9.561998,-0.0375,-0.0675709994054,0.00465728983158,0.997703598115,0.00791409424228
133,-9.651499,9.442003,-0.0075,0.256355124338,-0.0447851264352,0.965544583474,0.00468411003423
134,-9.491526,9.382006,-0.0675,0.0604997245194,-0.0254585999062,0.997843496258,0.016313555985
135,-9.391489,9.362047,-0.0875,-0.0309904465865,0.0412145755692,0.998669590496,0.0168676859487
136,-9.191477,9.352037,-0.0975,-0.0169875033144,-0.0182495127021,0.999689141692,0.0157733376973
137,-9.081492,9.392015,-0.0575,0.0300988890499,-0.0548438099794,0.998041188221,0.0165691826586
138,-8.901499,9.352037,-0.0975,-0.0356793198421,-0.0286162253539,0.998953501311,0.00970256041484
139,-8.801523,9.402025,-0.0475,-0.0539765252267,0.0204674419402,0.998332418859,0.0160537940658
140,-8.631479,9.412035,-0.0375,-0.0138828292363,-0.0111033573359,0.999841978769,0.0170810616748
141,-8.451487,9.362047,-0.0875,0.0430718709251,0.00820907389956,0.999038250039,0.0115617381497
142,-8.301523,9.412035,-0.0375,-0.0717337468558,0.0278444320351,0.997035083218,0.0144017193691
143,-8.131479,9.412035,-0.0375,0.0470280037985,0.0710345783978,0.996364619771,0.0191926632319
144,-7.961497,9.402025,-0.0475,0.0304848553196,0.161555051505,0.986392740712,0.0329236310511
145,-7.891489,9.332018,-0.1175,-0.0175508596203,0.1504971609,0.988454638255,0.0302559945601
146,-7.721506,9.402025,-0.0475,-0.22303089781,0.111347801713,0.968431146585,0.0135377180349
147,-7.541514,9.432054,-0.0175,0.0652133015825,-0.0417064569404,0.996999396563,0.0169938039268
148,-7.391489,9.412035,-0.0375,0.0596375640628,-0.0624511842723,0.996264628769,0.0136798905354
149,-7.251475,9.372057,-0.0775,-0.01404005219,-0.0178385327027,0.999742298638,0.00503135474229
150,-7.071482,9.412035,-0.0375,-0.174676871075,-0.00181600796658,0.984624137845,0.0147391412874
151,-6.981516,9.402025,-0.0475,-0.00945505803144,-0.0430982055971,0.999026099034,0.029943137807
152,-6.791514,9.352037,-0.0975,0.00124175944717,0.0131209444637,0.999913145653,0.021966477549
153,-6.62147,9.412035,-0.0375,-0.101405092933,-0.0358427743751,0.994199327425,0.00698588683473
154,-6.541514,9.422045,-0.0275,-0.000664946230365,0.0594020740713,0.998233916195,0.0136084216522
155,-6.37147,9.402025,-0.0475,0.0611854426516,0.122008847562,0.990641298717,0.00408434881003
156,-6.221506,9.392015,-0.0575,0.0202284690776,0.0143670065237,0.999692151696,0.0170169461033
157,-6.011484,9.442003,-0.0075,0.00980688561437,0.013528337868,0.99986039479,0.0285621800948
158,-5.971506,9.342028,-0.1075,-0.0951461798951,0.0336354284036,0.994894900182,0.0372446847758
159,-5.761484,9.362047,-0.0875,-0.0222267383986,-0.124812046067,0.991931411569,0.0504141872794
160,-5.661509,9.482042,0.0325,0.0955200277417,0.0423170153988,0.994527623803,0.0485279316777
161,-5.481516,9.352037,-0.0975,0.0762500658777,-0.15114041799,0.985567096399,0.03266775266
162,-5.301523,9.392015,-0.0575,-0.179253107619,0.117285545646,0.97678678543,0.0107297940036
163,-5.12147,9.412035,-0.0375,-0.137395237493,0.0485839306662,0.989324087645,0.0268606134893
164,-4.991526,9.462023,0.0125,-0.0126582686779,-0.018109099253,0.999755884583,0.022200454888
165,-4.881479,9.412035,-0.0375,-0.0411086066548,-0.0393435918013,0.998379769548,0.0194032057622
166,-4.651499,9.422045,-0.0275,0.0935062927448,-0.0132193873343,0.995530924189,0.0123622428348
167,-4.561472,9.352037,-0.0975,-0.0824345176348,-0.109630890919,0.990548140202,0.0236624604744
168,-4.421519,9.362047,-0.0875,-0.0264583462555,-0.097048699089,0.994927889808,0.0435880511148
169,-4.251475,9.432054,-0.0175,0.0634704239033,0.0628467265809,0.996002908755,0.0323831351423
170,-4.111521,9.412035,-0.0375,0.0029161703659,0.104865616376,0.994482125758,0.0214420719596
171,-3.951487,9.412035,-0.0375,-0.0455666644495,0.0612132695371,0.997084055997,0.0179646583334
172,-3.861521,9.442003,-0.0075,-0.0324026858809,-0.0554742491241,0.997934203057,0.0174550472351
173,-3.62147,9.382006,-0.0675,0.0775770300115,-0.0973957544521,0.992217653254,0.0146844100927
174,-3.521494,9.392015,-0.0575,0.109708946175,-0.0604388855734,0.992124532627,0.0178782399104
175,-3.311472,9.392015,-0.0575,-0.0218146809853,-0.0476495095247,0.998625877862,0.014855734944
176,-3.151499,9.382006,-0.0675,0.0157763091692,0.0974217339985,0.995118140631,0.0160912492123
177,-3.051523,9.442003,-0.0075,0.0179928924223,0.0789756538829,0.996714152561,0.0167350753548
178,-2.891489,9.382006,-0.0675,-0.0209741652253,-0.00266086560845,0.999776477112,0.0335992729194
179,-2.751475,9.442003,-0.0075,-0.113208339748,0.0405782216421,0.992742302786,0.0190852399355
180,-2.661509,9.362047,-0.0875,-0.0726633380116,-0.056483468477,0.995755822026,0.0210660759988
181,-2.451487,9.452013,0.0025,-0.0346875481701,0.00188495548008,0.999396428323,0.0195190021824
182,-2.281504,9.392015,-0.0575,0.067140265812,-0.120921730063,0.990388873072,0.00911072006707
183,-2.131479,9.372057,-0.0775,-0.031504766114,-0.0433303546862,0.998563933895,0.00675098978015
184,-2.011484,9.412035,-0.0375,-0.0181689963071,-0.122482197412,0.992304388225,0.00519355324458
185,-1.821482,9.372057,-0.0775,-0.0078251292218,-0.0628696546173,0.997991069039,0.0054097680438
186,-1.651499,9.412035,-0.0375,-0.113176724725,-0.0932420555678,0.989190046479,0.00312449073662
187,-1.551523,9.452013,0.0025,0.0457201441733,-0.0658816413359,0.996779452914,0.0163975876527
188,-1.381479,9.352037,-0.0975,0.0912095291662,-0.0358012769306,0.995187967351,0.0151218759441
189,-1.201487,9.412035,-0.0375,0.0123601011617,-0.00124695437352,0.999922833525,0.0178174847005
190,-1.071482,9.362047,-0.0875,-0.0264413217171,0.0244695887817,0.999350837159,0.0206653278585
191,-0.931467,9.352037,-0.0975,0.00147615491782,0.0155822083012,0.999877500372,0.0164470089964
192,-0.841501,9.422045,-0.0275,-0.0220398763549,-0.039514896463,0.998975883997,0.0147378488842
193,-0.661509,9.402025,-0.0475,-0.0396505184816,0.013392030927,0.999123861136,0.011243369522
194,-0.491526,9.422045,-0.0275,-0.0303328528141,-0.00406704805224,0.999531578871,0.0112476123146
195,-0.331492,9.422045,-0.0275,0.0485471257553,0.100042368411,0.993798118887,0.0213532407341
196,-0.201487,9.362047,-0.0875,-0.0216380196424,0.121983921107,0.992296185167,0.0196450237135
197,-0.041514,9.402025,-0.0475,-0.0424779874529,0.115450048956,0.992404608402,0.0186791977825
198,0.048513,9.422045,-0.0275,-0.0776921817119,0.0991878063948,0.992031100301,0.0105878581727
199,-9.62147,9.222032,-0.0775,0.107799512559,0.0491995547157,0.992954515025,0.0197760439997
200,-9.541514,9.232042,-0.0675,0.107799512559,0.0491995547157,0.992954515025,0.0197760439997
201,-9.351511,9.242052,-0.0575,-0.055114252905,0.118680261251,0.991401742341,0.0137616730353
202,-9.221506,9.28203,-0.0175,0.022735755347,0.197974101211,0.979943539536,0.0161069829456
203,-9.081492,9.222032,-0.0775,0.133089984451,0.122457042926,0.98350969933,0.0181733781218
204,-8.921519,9.252001,-0.0475,-0.061359779416,0.0274396239637,0.997738464983,0.0181368163306
205,-8.751475,9.222032,-0.0775,-0.162529879955,0.0393913635581,0.985917014053,0.013639681489
206,-8.651499,9.26201,-0.0375,0.0225612121902,0.0656142462324,0.997589977093,0.0127870300065
207,-8.471506,9.27202,-0.0275,0.0714334979893,0.0422572585618,0.996549837923,0.00876018127926
208,-8.241526,9.212023,-0.0875,-0.0605082801033,-0.0824613727754,0.994755683592,0.0132872383495
209,-8.141489,9.28203,-0.0175,0.00191187186428,-0.0840938980246,0.996456000565,0.0128764899415
210,-7.981516,9.26201,-0.0375,0.146738153217,0.11527994496,0.982434959008,0.0267233765609
211,-7.911509,9.222032,-0.0775,-0.0608745813315,0.118440599245,0.991093391058,0.0345277349883
212,-7.741526,9.28203,-0.0175,-0.0511002317694,0.0621517780862,0.996757705159,0.0398942566485
213,-7.551523,9.202013,-0.0975,0.0645672930374,0.0735103878593,0.995202134014,0.0246385194998
214,-7.381479,9.232042,-0.0675,0.078762419144,0.0282793975877,0.996492226263,0.0227303075035
215,-7.251475,9.252001,-0.0475,0.105087299411,0.0167285216974,0.994322289836,0.0107271269057
216,-7.111521,9.222032,-0.0775,-0.0914128455091,-0.0275879008669,0.995430861186,0.00948669025459
217,-6.941477,9.30205,0.0025,0.0343880087526,-0.0449117904152,0.998398916233,0.0154708478387
218,-6.731516,9.242052,-0.0575,-0.0322857665521,0.0411389201753,0.998631673103,0.023971704912
219,-6.691477,9.232042,-0.0675,-0.0434289305166,0.0173546813309,0.998905772849,0.02660147086
220,-6.491526,9.26201,-0.0375,-0.0568414460903,0.0870966753265,0.994576904595,0.009851369123
221,-6.321482,9.252001,-0.0475,0.12767585162,0.11062274155,0.985627458001,0.00566029059131
222,-6.171519,9.232042,-0.0675,0.142969409458,0.098860234048,0.984777336296,0.00490767871382
223,-6.031504,9.242052,-0.0575,-0.00769695676057,-0.0171050701292,0.999824071241,0.0237859052974
224,-5.921519,9.29204,-0.0075,-0.106713091469,-0.00467324847063,0.994278872781,0.0384066004034
225,-5.751475,9.311998,0.0125,-0.0485925063446,-0.163121862936,0.98540855799,0.0445260879655
226,-5.601511,9.202013,-0.0975,0.0546259683156,-0.00804486647039,0.998474478246,0.0400013193389
227,-5.431467,9.182054,-0.1175,-0.185010927577,0.0746473636672,0.979897304708,0.00939010474998
228,-5.341501,9.252001,-0.0475,-0.251865661778,0.0548620247485,0.966205902827,0.00711220625753
229,-5.151499,9.27202,-0.0275,-0.0919079564798,0.0761098209651,0.992854582851,0.0228478902822
230,-4.991526,9.222032,-0.0775,0.00358844922027,-0.0362928817524,0.999334753607,0.0168195745348
231,-4.87147,9.27202,-0.0275,0.0853763567825,-0.0631440344467,0.994345869714,0.0169941573831
232,-4.641489,9.212023,-0.0875,0.0571723346909,-0.0367844309457,0.99768643861,0.029655513596
233,-4.521494,9.192003,-0.1075,-0.105995652877,0.0860693616017,0.990634638282,0.0254177904946
234,-4.411509,9.30205,0.0025,-0.199800944648,0.0156399185104,0.979711679764,0.0196352566009
235,-4.271494,9.26201,-0.0375,0.0339184925371,0.0291580266176,0.998999171845,0.0273781538401
236,-4.111521,9.222032,-0.0775,0.123786001544,-0.0589609636283,0.990555718064,0.00821551058984
237,-3.961497,9.252001,-0.0475,-0.0420575479545,-0.0833037891428,0.995636299747,0.0107015871082
238,-3.801523,9.242052,-0.0575,-0.00560046230398,-0.0415701298735,0.999119892267,0.0171371876396
239,-3.661509,9.232042,-0.0675,-0.0655045743306,0.107998137445,0.991990702099,0.00510289570736
240,-3.541514,9.242052,-0.0575,0.0246736379217,0.0423049638966,0.998800030848,0.010039265529
241,-3.37147,9.192003,-0.1075,0.0448983026778,-0.023755318168,0.998709080401,0.00859224850018
242,-3.211497,9.242052,-0.0575,-0.114668904529,0.026375000034,0.99305357444,0.0163934222177
243,-3.081492,9.232042,-0.0675,0.0257869577766,0.0185274955893,0.999495755227,0.018800612908
244,-2.881479,9.212023,-0.0875,-0.00886311678501,0.0560709752862,0.998387445279,0.0294766410795
245,-2.791514,9.27202,-0.0275,-0.0544759153521,0.0418103463001,0.997639348457,0.0233303777939
246,-2.591501,9.27202,-0.0275,-0.0183584790446,-0.0766712425541,0.996887399265,0.0172004289501
247,-2.501475,9.232042,-0.0675,-0.0728112003193,-0.0358515204781,0.996701157613,0.012547238393
248,-2.281504,9.26201,-0.0375,0.0714678264912,-0.0328214356752,0.996902755105,0.0116617788462
249,-2.141489,9.212023,-0.0875,0.00321421880078,0.0565076426857,0.998396992742,0.010385156468
250,-2.031504,9.252001,-0.0475,0.00719852271033,0.0357608239948,0.999334450891,0.00939213828238
251,-1.861521,9.232042,-0.0675,0.0347781116978,0.0555913642768,0.997847725439,0.00900024991748
252,-1.701487,9.252001,-0.0475,-0.0387078312218,-0.110953888546,0.993071466924,0.0113125155601
253,-1.491526,9.27202,-0.0275,-0.00267118384174,-0.175555305129,0.984465946398,0.0168429777618
254,-1.441477,9.26201,-0.0375,-0.00267118384174,-0.175555305129,0.984465946398,0.0168429777618
255,-1.231516,9.252001,-0.0475,0.0632337296284,0.0291945686539,0.997571637828,0.0147674411149
256,-1.101511,9.27202,-0.0275,0.0868784471173,-0.00871095653448,0.996180834318,0.0168018674579
257,-0.941477,9.27202,-0.0275,-0.0987716070766,0.000962670985629,0.995109663756,0.0282191680131
258,-0.801523,9.252001,-0.0475,-0.0466565071276,-0.0417155523907,0.998039569873,0.0172930935108
259,-0.641489,9.222032,-0.0775,-0.0393657893025,0.00941642377568,0.999180497005,0.00480609186405
260,-0.541514,9.252001,-0.0475,-0.0368118340724,-0.0103847778368,0.999268254905,0.00562973353698
261,-0.391489,9.26201,-0.0375,0.00610870117627,0.0507559629875,0.998692403091,0.0175023213433
262,-0.171519,9.30205,0.0025,-0.0121218464251,0.038674918126,0.999178318193,0.0214368667572
263,-0.091501,9.26201,-0.0375,-0.0859489173025,0.0489991095646,0.995093900532,0.0165134642128
264,0.158499,9.26201,-0.0375,0.0199793599857,0.00768397132995,0.999770864628,0.00778021482059
265,-9.671519,9.142015,-0.0075,0.0942088793277,0.0580047098812,0.993861228083,0.0153981383174
266,-9.511484,9.082018,-0.0675,0.0850602238796,-0.00521786385288,0.996362149126,0.0279705480434
267,-9.361521,9.132006,-0.0175,-0.141952491917,0.0462793435531,0.98879103576,0.0125826018387
268,-9.191477,9.102037,-0.0475,0.0531565183822,0.0588945802318,0.996847938741,0.0244586473967
269,-9.021494,9.112047,-0.0375,0.154204981465,0.0766672286372,0.985059876223,0.0153410394129
270,-8.891489,9.061998,-0.0875,-0.0799124713076,0.0484739424701,0.995622555907,0.0160337041056
271,-8.731516,9.142015,-0.0075,-0.0457145109658,0.0601520829841,0.997141870749,0.015821673313
272,-8.651499,9.112047,-0.0375,-0.0852400027003,0.0803252040902,0.993117316095,0.0139884470297
273,-8.501475,9.102037,-0.0475,0.126000521361,-0.0339652042084,0.991448553138,0.0160368932228
274,-8.261484,9.072008,-0.0775,-0.0743585364663,-0.0609016126938,0.995370183211,0.0213812886899
275,-8.131479,9.122057,-0.0275,0.013109491159,-0.0745272430064,0.997132805243,0.0142671747931
276,-8.031504,9.082018,-0.0675,-0.055095284713,-0.09753324015,0.99370608163,0.0127365179008
